淡水 鞍部 臺北 竹子湖 基隆 彭佳嶼 花蓮 蘇澳 宜蘭 東吉島 澎湖 臺南 高雄 嘉義 臺中 阿里山 大武 玉山 新竹 恆春 成功 蘭嶼 日月潭 臺東 梧棲
2.1 3.3 2.7 2.8 3.5 8.1 2.9 2.9 1.7 10.8 5.3 3.7 2.2 2.3 1.6 1.2 2.8 6.5 3 4.3 3.8 7.3 1.1 1.8 6.1
2 3.1 2.5 2.5 3.2 7.9 2.9 2.8 1.6 9.7 4.9 3.5 2.2 2.2 1.6 1.4 2.6 6.5 2.8 3.9 3.5 7.1 1.1 1.8 5.7
2 2.9 2.6 2.1 2.8 7.2 2.8 2.6 1.7 8.1 4.2 3.1 2.1 2.1 1.5 1.4 2.4 5.7 2.4 3.6 3.2 6.8 1.1 1.8 4.9
1.8 2.7 2.5 1.8 2.5 6.7 2.7 2.3 1.6 6.5 3.4 2.8 2.1 1.9 1.4 1.3 2.2 5.1 2.1 3.1 2.9 6.9 1.1 1.7 4.1
1.7 2.4 2.4 1.4 2.3 6.1 2.4 2.1 1.6 5.3 3 2.6 2 1.9 1.4 1.2 1.9 4.8 1.8 2.6 2.6 7.2 1.1 1.6 3.6
1.5 2.3 1.9 1.2 2.2 6 2.6 2.1 1.6 5.5 2.9 3 2.2 2.3 1.5 1.3 1.9 5.2 2 2.4 2.3 8.7 1.2 1.6 3.8
1.8 2.8 2.1 1.1 2.6 6.9 2.8 2.8 2.1 5.2 2.6 2.9 2.4 2.3 1.6 1.2 2 5 1.9 2.6 2.5 7.9 1.2 1.6 3.7
1.7 3 2.2 1.2 2.7 6.5 2.6 2.8 2 5 2.7 2.9 2.3 2 1.4 1.2 1.9 4.8 1.8 2.4 2.5 7.5 1.2 1.6 3.4
1.8 3.5 2.7 1.6 3.1 7 2.7 2.8 2.1 6.3 3.6 2.7 2.2 1.8 1.4 1.1 2.2 4.6 2.4 2.9 3.2 6.8 1.1 1.7 4.2
1.9 3.4 3 2.3 3.7 8 3 3 2 9.9 5.4 2.8 1.9 1.7 1.6 1 2.9 4.3 3.4 4.2 4.2 7.7 1 2 5.8
2 3.4 3.1 2.5 3.5 8.1 3 2.7 1.7 10.3 5.3 3 1.9 1.7 1.5 1 3.2 5.1 3.2 4.8 4.1 7.8 1 1.9 5.6
