淡水溫度 淡水風速 臺北溫度 臺北風速 竹子湖溫度 竹子湖風速 基隆溫度 基隆風速 適不適合打羽球
15.4 2.1 16.6 2.7 12 2.8 16.1 3.5 TRUE
15.7 2 17.2 2.5 12.8 2.5 16.4 3.2 FALSE
17.7 2 19 2.6 14.8 2.1 18.1 2.8 FALSE
21.4 1.8 22.5 2.5 18.2 1.8 21.6 2.5 FALSE
24.7 1.7 25.8 2.4 21.3 1.4 24.8 2.3 TRUE
27.3 1.5 28.3 1.9 23.7 1.2 27.6 2.2 TRUE
29 1.8 30.1 2.1 25 1.1 29.5 2.6 TRUE
28.7 1.7 29.7 2.2 24.7 1.2 29.1 2.7 TRUE
26.9 1.8 27.8 2.7 22.9 1.6 27.2 3.1 FALSE
23.6 1.9 24.7 3 19.8 2.3 24.2 3.7 FALSE
21 2 22 3.1 17.2 2.5 21.5 3.5 FALSE
17.3 2.1 18.2 2.9 13.5 2.7 18 3.7 FALSE
